Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22
SRR16683568_2	(35, 7769.0)	(40, 8461.0)	(45, 11904.0)	(50, 14469.0)	(55, 18572.0)	(60, 22336.0)	(65, 25926.0)	(70, 30310.0)	(75, 33173.0)	(80, 36974.0)	(85, 38510.0)	(90, 41994.0)	(95, 43395.0)	(100, 45221.0)	(105, 46113.0)	(110, 46749.0)	(115, 46292.0)	(120, 46356.0)	(125, 45820.0)	(130, 45154.0)	(135, 44181.0)	(140, 43524.0)	(145, 1087320.0)
SRR16683569_1	(35, 4688.0)	(40, 4726.0)	(45, 6814.0)	(50, 8169.0)	(55, 10462.0)	(60, 12432.0)	(65, 14052.0)	(70, 17064.0)	(75, 18705.0)	(80, 21725.0)	(85, 23402.0)	(90, 25522.0)	(95, 27479.0)	(100, 29774.0)	(105, 31451.0)	(110, 32867.0)	(115, 33972.0)	(120, 35211.0)	(125, 35516.0)	(130, 36344.0)	(135, 36784.0)	(140, 36662.0)	(145, 1097219.0)
SRR16683569_2	(35, 4592.0)	(40, 4704.0)	(45, 6788.0)	(50, 8130.0)	(55, 10425.0)	(60, 12371.0)	(65, 13996.0)	(70, 16994.0)	(75, 18626.0)	(80, 21642.0)	(85, 23319.0)	(90, 25422.0)	(95, 27364.0)	(100, 29662.0)	(105, 31306.0)	(110, 32803.0)	(115, 33868.0)	(120, 35130.0)	(125, 35407.0)	(130, 36239.0)	(135, 36651.0)	(140, 36804.0)	(145, 1098797.0)
SRR16683570_1	(35, 4815.0)	(40, 5428.0)	(45, 7845.0)	(50, 9597.0)	(55, 12369.0)	(60, 14219.0)	(65, 16577.0)	(70, 19400.0)	(75, 21480.0)	(80, 24376.0)	(85, 26420.0)	(90, 29259.0)	(95, 30482.0)	(100, 33299.0)	(105, 34581.0)	(110, 36611.0)	(115, 37303.0)	(120, 38272.0)	(125, 38407.0)	(130, 39325.0)	(135, 39560.0)	(140, 40018.0)	(145, 1254697.0)
SRR16683570_2	(35, 4716.0)	(40, 5396.0)	(45, 7794.0)	(50, 9554.0)	(55, 12301.0)	(60, 14182.0)	(65, 16557.0)	(70, 19332.0)	(75, 21436.0)	(80, 24317.0)	(85, 26298.0)	(90, 29192.0)	(95, 30353.0)	(100, 33175.0)	(105, 34465.0)	(110, 36538.0)	(115, 37176.0)	(120, 38163.0)	(125, 38296.0)	(130, 39315.0)	(135, 39491.0)	(140, 40182.0)	(145, 1256111.0)
SRR16683571_1	(35, 1605.0)	(40, 1867.0)	(45, 2855.0)	(50, 3542.0)	(55, 5055.0)	(60, 5892.0)	(65, 6940.0)	(70, 8246.0)	(75, 9612.0)	(80, 10910.0)	(85, 12056.0)	(90, 13640.0)	(95, 14603.0)	(100, 16709.0)	(105, 17809.0)	(110, 19377.0)	(115, 20310.0)	(120, 22145.0)	(125, 22934.0)	(130, 24201.0)	(135, 25235.0)	(140, 27400.0)	(145, 1142605.0)
SRR16683571_2	(35, 1593.0)	(40, 1864.0)	(45, 2848.0)	(50, 3524.0)	(55, 5035.0)	(60, 5860.0)	(65, 6908.0)	(70, 8230.0)	(75, 9589.0)	(80, 10840.0)	(85, 11996.0)	(90, 13594.0)	(95, 14557.0)	(100, 16646.0)	(105, 17784.0)	(110, 19287.0)	(115, 20337.0)	(120, 22048.0)	(125, 22861.0)	(130, 24111.0)	(135, 25131.0)	(140, 27499.0)	(145, 1143406.0)
SRR16683572_1	(35, 5845.0)	(40, 6318.0)	(45, 9250.0)	(50, 11228.0)	(55, 14524.0)	(60, 16711.0)	(65, 19509.0)	(70, 22473.0)	(75, 24587.0)	(80, 27455.0)	(85, 28930.0)	(90, 31510.0)	(95, 32521.0)	(100, 34318.0)	(105, 35172.0)	(110, 36507.0)	(115, 35847.0)	(120, 36896.0)	(125, 36421.0)	(130, 36507.0)	(135, 36604.0)	(140, 36672.0)	(145, 1041702.0)
SRR16683572_2	(35, 5813.0)	(40, 6280.0)	(45, 9232.0)	(50, 11172.0)	(55, 14487.0)	(60, 16631.0)	(65, 19447.0)	(70, 22415.0)	(75, 24571.0)	(80, 27382.0)	(85, 28844.0)	(90, 31425.0)	(95, 32415.0)	(100, 34219.0)	(105, 35079.0)	(110, 36448.0)	(115, 35821.0)	(120, 36865.0)	(125, 36408.0)	(130, 36482.0)	(135, 36572.0)	(140, 36847.0)	(145, 1042652.0)
SRR16683573_1	(35, 2345.0)	(40, 2817.0)	(45, 4457.0)	(50, 5691.0)	(55, 7494.0)	(60, 8974.0)	(65, 10654.0)	(70, 12393.0)	(75, 13982.0)	(80, 15838.0)	(85, 17685.0)	(90, 19546.0)	(95, 20714.0)	(100, 22818.0)	(105, 23921.0)	(110, 25083.0)	(115, 25901.0)	(120, 27050.0)	(125, 27459.0)	(130, 28076.0)	(135, 28397.0)	(140, 29699.0)	(145, 1083835.0)
